Description,TECHNICAL_SKILL,COMPANY_NAME,TOOL,EDUCATION,EXPERIENCE,DESIGNATION,LOCATION,LANGUAGE,SOFT_SKILL,PAY,CERTIFICATION
"IBM, Amazon is seeking a Backend Developer, Product Manager, DevOps Engineer proficient in AWS, Docker, Machine Learning and experienced with Tableau, Jira, Salesforce, VS Code. The ideal candidate should possess Master's in Information Systems, Bachelor's in Computer Science and have Entry level, Mid-Senior level, 7+ years of industry experience. Position is based in Boston, MA, Seattle, WA. Strong Problem-Solving, Adaptability, Communication Skills and fluency in French, English are required. Salary range: $80k–$100k, $120k–$150k, $90k–$120k. Preferred certifications include PMP Certification, Google Cloud Professional.","AWS, Docker, Machine Learning","IBM, Amazon","Tableau, Jira, Salesforce, VS Code","Master's in Information Systems, Bachelor's in Computer Science","Entry level, Mid-Senior level, 7+ years","Backend Developer, Product Manager, DevOps Engineer","Boston, MA, Seattle, WA","French, English","Problem-Solving, Adaptability, Communication Skills","$80k–$100k, $120k–$150k, $90k–$120k","PMP Certification, Google Cloud Professional"
"IBM, Facebook, Apple, Microsoft is seeking a Software Engineer, Data Scientist proficient in Machine Learning, Docker, Java and experienced with Slack, GitHub. The ideal candidate should possess Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems and have 3-5 years, 2+ years of industry experience. Position is based in Chicago, IL, Boston, MA, New York, NY, Austin, TX. Strong Teamwork, Communication Skills, Leadership, Adaptability and fluency in Spanish, French, English are required. Salary range: $90k–$120k, $120k–$150k, $100k–$130k. Preferred certifications include Google Cloud Professional, AWS Certified Solutions Architect, PMP Certification.","Machine Learning, Docker, Java","IBM, Facebook, Apple, Microsoft","Slack, GitHub","Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems","3-5 years, 2+ years","Software Engineer, Data Scientist","Chicago, IL, Boston, MA, New York, NY, Austin, TX","Spanish, French, English","Teamwork, Communication Skills, Leadership, Adaptability","$90k–$120k, $120k–$150k, $100k–$130k","Google Cloud Professional, AWS Certified Solutions Architect, PMP Certification"
"Tesla, Apple is seeking a Backend Developer, Product Manager proficient in AWS, Python, Java, TensorFlow and experienced with Tableau, VS Code. The ideal candidate should possess Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems and have Entry level, 7+ years of industry experience. Position is based in New York, NY, Seattle, WA. Strong Teamwork, Leadership, Communication Skills and fluency in Spanish, English, French, German are required. Salary range: $90k–$120k, $80k–$100k, $120k–$150k. Preferred certifications include Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect, PMP Certification.","AWS, Python, Java, TensorFlow","Tesla, Apple","Tableau, VS Code","Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems","Entry level, 7+ years","Backend Developer, Product Manager","New York, NY, Seattle, WA","Spanish, English, French, German","Teamwork, Leadership, Communication Skills","$90k–$120k, $80k–$100k, $120k–$150k","Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect, PMP Certification"
"Netflix, Apple, Google is seeking a Backend Developer, Software Engineer, DevOps Engineer proficient in SQL, Docker and experienced with GitHub, Salesforce. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science and have Entry level, 7+ years, 3-5 years of industry experience. Position is based in Boston, MA, Austin, TX, Chicago, IL. Strong Teamwork, Problem-Solving and fluency in German, French are required. Salary range: $100k–$130k, $90k–$120k, $80k–$100k, $120k–$150k. Preferred certifications include Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect.","SQL, Docker","Netflix, Apple, Google","GitHub, Salesforce","Master's in Information Systems, Ph.D. in Data Science","Entry level, 7+ years, 3-5 years","Backend Developer, Software Engineer, DevOps Engineer","Boston, MA, Austin, TX, Chicago, IL","German, French","Teamwork, Problem-Solving","$100k–$130k, $90k–$120k, $80k–$100k, $120k–$150k","Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect"
"Apple, Netflix, IBM, Amazon is seeking a Backend Developer, Data Scientist, DevOps Engineer, Software Engineer proficient in Java, SQL, Kubernetes and experienced with Jira, Figma, Salesforce, GitHub. The ideal candidate should possess Master's in Information Systems, Bachelor's in Computer Science and have 7+ years, Entry level, 3-5 years, 2+ years of industry experience. Position is based in Austin, TX, San Francisco, CA. Strong Problem-Solving, Leadership, Adaptability and fluency in French, English, German are required. Salary range: $80k–$100k, $100k–$130k, $120k–$150k. Preferred certifications include PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master.","Java, SQL, Kubernetes","Apple, Netflix, IBM, Amazon","Jira, Figma, Salesforce, GitHub","Master's in Information Systems, Bachelor's in Computer Science","7+ years, Entry level, 3-5 years, 2+ years","Backend Developer, Data Scientist, DevOps Engineer, Software Engineer","Austin, TX, San Francisco, CA","French, English, German","Problem-Solving, Leadership, Adaptability","$80k–$100k, $100k–$130k, $120k–$150k","PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master"
"Microsoft, IBM, Netflix, Google is seeking a Product Manager, DevOps Engineer, Data Scientist proficient in AWS, SQL, Docker and experienced with Jira, Tableau. The ideal candidate should possess Master's in Information Systems, Bachelor's in Computer Science and have 7+ years, Entry level, 2+ years of industry experience. Position is based in Austin, TX, Boston, MA, Seattle, WA. Strong Communication Skills, Problem-Solving, Leadership, Adaptability and fluency in German, French are required. Salary range: $80k–$100k, $100k–$130k. Preferred certifications include Certified Scrum Master, AWS Certified Solutions Architect.","AWS, SQL, Docker","Microsoft, IBM, Netflix, Google","Jira, Tableau","Master's in Information Systems, Bachelor's in Computer Science","7+ years, Entry level, 2+ years","Product Manager, DevOps Engineer, Data Scientist","Austin, TX, Boston, MA, Seattle, WA","German, French","Communication Skills, Problem-Solving, Leadership, Adaptability","$80k–$100k, $100k–$130k","Certified Scrum Master, AWS Certified Solutions Architect"
"Apple, Amazon is seeking a Product Manager, Data Scientist, Software Engineer proficient in SQL, Java and experienced with Slack, Jira. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science and have Mid-Senior level, 5+ years, 7+ years, 2+ years of industry experience. Position is based in San Francisco, CA, Austin, TX, Seattle, WA, Chicago, IL. Strong Teamwork, Problem-Solving, Communication Skills, Leadership and fluency in Spanish, French, English, German are required. Salary range: $80k–$100k, $90k–$120k, $120k–$150k, $100k–$130k. Preferred certifications include Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional.","SQL, Java","Apple, Amazon","Slack, Jira","Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science","Mid-Senior level, 5+ years, 7+ years, 2+ years","Product Manager, Data Scientist, Software Engineer","San Francisco, CA, Austin, TX, Seattle, WA, Chicago, IL","Spanish, French, English, German","Teamwork, Problem-Solving, Communication Skills, Leadership","$80k–$100k, $90k–$120k, $120k–$150k, $100k–$130k","Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional"
"Facebook, Google is seeking a DevOps Engineer, Data Scientist, Product Manager proficient in AWS, Machine Learning, TensorFlow and experienced with VS Code, Salesforce. The ideal candidate should possess Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science and have 5+ years, Entry level, Mid-Senior level of industry experience. Position is based in Seattle, WA, San Francisco, CA, New York, NY, Boston, MA. Strong Adaptability, Communication Skills and fluency in English, French, Spanish, German are required. Salary range: $100k–$130k, $90k–$120k, $120k–$150k. Preferred certifications include AWS Certified Solutions Architect, Google Cloud Professional, PMP Certification, Certified Scrum Master.","AWS, Machine Learning, TensorFlow","Facebook, Google","VS Code, Salesforce","Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science","5+ years, Entry level, Mid-Senior level","DevOps Engineer, Data Scientist, Product Manager","Seattle, WA, San Francisco, CA, New York, NY, Boston, MA","English, French, Spanish, German","Adaptability, Communication Skills","$100k–$130k, $90k–$120k, $120k–$150k","AWS Certified Solutions Architect, Google Cloud Professional, PMP Certification, Certified Scrum Master"
"Google, Amazon, Apple, Tesla is seeking a Data Scientist, Software Engineer proficient in AWS, Machine Learning, Docker and experienced with Salesforce, Slack, GitHub, Tableau. The ideal candidate should possess Bachelor's in Computer Science, Master's in Information Systems and have 2+ years, Entry level, 5+ years, 3-5 years of industry experience. Position is based in Chicago, IL, San Francisco, CA. Strong Problem-Solving, Teamwork, Adaptability, Communication Skills and fluency in French, Spanish are required. Salary range: $80k–$100k, $120k–$150k, $100k–$130k. Preferred certifications include Certified Scrum Master, PMP Certification.","AWS, Machine Learning, Docker","Google, Amazon, Apple, Tesla","Salesforce, Slack, GitHub, Tableau","Bachelor's in Computer Science, Master's in Information Systems","2+ years, Entry level, 5+ years, 3-5 years","Data Scientist, Software Engineer","Chicago, IL, San Francisco, CA","French, Spanish","Problem-Solving, Teamwork, Adaptability, Communication Skills","$80k–$100k, $120k–$150k, $100k–$130k","Certified Scrum Master, PMP Certification"
"Apple, Netflix, Facebook, Google is seeking a Data Scientist, Backend Developer proficient in SQL, Docker and experienced with Tableau, GitHub. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science and have 7+ years, 3-5 years, Entry level of industry experience. Position is based in San Francisco, CA, Austin, TX, New York, NY, Boston, MA. Strong Leadership, Teamwork, Adaptability, Problem-Solving and fluency in French, Spanish, English are required. Salary range: $100k–$130k, $120k–$150k. Preferred certifications include PMP Certification, Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect.","SQL, Docker","Apple, Netflix, Facebook, Google","Tableau, GitHub","Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science","7+ years, 3-5 years, Entry level","Data Scientist, Backend Developer","San Francisco, CA, Austin, TX, New York, NY, Boston, MA","French, Spanish, English","Leadership, Teamwork, Adaptability, Problem-Solving","$100k–$130k, $120k–$150k","PMP Certification, Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect"
"Amazon, Apple, Google is seeking a Product Manager, Software Engineer, Backend Developer, Data Scientist proficient in TensorFlow, Java and experienced with Slack, VS Code, GitHub, Tableau. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science and have 5+ years, 2+ years, Mid-Senior level, 3-5 years of industry experience. Position is based in Chicago, IL, New York, NY, Seattle, WA, San Francisco, CA. Strong Teamwork, Leadership, Communication Skills, Problem-Solving and fluency in Spanish, French, English are required. Salary range: $100k–$130k, $120k–$150k, $90k–$120k. Preferred certifications include Google Cloud Professional, AWS Certified Solutions Architect, Certified Scrum Master, PMP Certification.","TensorFlow, Java","Amazon, Apple, Google","Slack, VS Code, GitHub, Tableau","Master's in Information Systems, Ph.D. in Data Science","5+ years, 2+ years, Mid-Senior level, 3-5 years","Product Manager, Software Engineer, Backend Developer, Data Scientist","Chicago, IL, New York, NY, Seattle, WA, San Francisco, CA","Spanish, French, English","Teamwork, Leadership, Communication Skills, Problem-Solving","$100k–$130k, $120k–$150k, $90k–$120k","Google Cloud Professional, AWS Certified Solutions Architect, Certified Scrum Master, PMP Certification"
"Apple, Amazon is seeking a DevOps Engineer, Software Engineer, Backend Developer proficient in Kubernetes, Java, Docker, AWS and experienced with Jira, GitHub, Salesforce. The ideal candidate should possess Bachelor's in Computer Science, Master's in Information Systems and have Entry level, 3-5 years, 5+ years of industry experience. Position is based in San Francisco, CA, Chicago, IL, Seattle, WA. Strong Communication Skills, Problem-Solving, Leadership, Teamwork and fluency in French, Spanish are required. Salary range: $90k–$120k, $100k–$130k, $80k–$100k. Preferred certifications include Google Cloud Professional, AWS Certified Solutions Architect, Certified Scrum Master.","Kubernetes, Java, Docker, AWS","Apple, Amazon","Jira, GitHub, Salesforce","Bachelor's in Computer Science, Master's in Information Systems","Entry level, 3-5 years, 5+ years","DevOps Engineer, Software Engineer, Backend Developer","San Francisco, CA, Chicago, IL, Seattle, WA","French, Spanish","Communication Skills, Problem-Solving, Leadership, Teamwork","$90k–$120k, $100k–$130k, $80k–$100k","Google Cloud Professional, AWS Certified Solutions Architect, Certified Scrum Master"
"Amazon, Tesla is seeking a Backend Developer, Software Engineer proficient in SQL, TensorFlow, Machine Learning, Python and experienced with VS Code, GitHub, Jira. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science and have Entry level, Mid-Senior level, 3-5 years of industry experience. Position is based in Austin, TX, Chicago, IL, Seattle, WA. Strong Problem-Solving, Leadership and fluency in Spanish, German, French, English are required. Salary range: $120k–$150k, $100k–$130k. Preferred certifications include Google Cloud Professional, PMP Certification, AWS Certified Solutions Architect, Certified Scrum Master.","SQL, TensorFlow, Machine Learning, Python","Amazon, Tesla","VS Code, GitHub, Jira","Master's in Information Systems, Ph.D. in Data Science","Entry level, Mid-Senior level, 3-5 years","Backend Developer, Software Engineer","Austin, TX, Chicago, IL, Seattle, WA","Spanish, German, French, English","Problem-Solving, Leadership","$120k–$150k, $100k–$130k","Google Cloud Professional, PMP Certification, AWS Certified Solutions Architect, Certified Scrum Master"
"Netflix, Amazon is seeking a Backend Developer, Product Manager, Software Engineer proficient in Docker, Java, Machine Learning, Kubernetes and experienced with GitHub, VS Code. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems and have 5+ years, Mid-Senior level of industry experience. Position is based in Austin, TX, Chicago, IL, New York, NY, Seattle, WA. Strong Leadership, Adaptability and fluency in English, Spanish, French, German are required. Salary range: $120k–$150k, $80k–$100k, $90k–$120k, $100k–$130k. Preferred certifications include Google Cloud Professional, Certified Scrum Master, PMP Certification.","Docker, Java, Machine Learning, Kubernetes","Netflix, Amazon","GitHub, VS Code","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","5+ years, Mid-Senior level","Backend Developer, Product Manager, Software Engineer","Austin, TX, Chicago, IL, New York, NY, Seattle, WA","English, Spanish, French, German","Leadership, Adaptability","$120k–$150k, $80k–$100k, $90k–$120k, $100k–$130k","Google Cloud Professional, Certified Scrum Master, PMP Certification"
"Microsoft, Facebook, Tesla, Apple is seeking a Backend Developer, Data Scientist, Software Engineer, Product Manager proficient in Kubernetes, TensorFlow, Machine Learning, Java and experienced with VS Code, Slack. The ideal candidate should possess Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems and have Mid-Senior level, 7+ years, 3-5 years, 2+ years of industry experience. Position is based in Seattle, WA, New York, NY, Boston, MA, Chicago, IL. Strong Leadership, Communication Skills, Adaptability, Problem-Solving and fluency in Spanish, German, English, French are required. Salary range: $120k–$150k, $90k–$120k, $80k–$100k, $100k–$130k. Preferred certifications include Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect, PMP Certification.","Kubernetes, TensorFlow, Machine Learning, Java","Microsoft, Facebook, Tesla, Apple","VS Code, Slack","Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems","Mid-Senior level, 7+ years, 3-5 years, 2+ years","Backend Developer, Data Scientist, Software Engineer, Product Manager","Seattle, WA, New York, NY, Boston, MA, Chicago, IL","Spanish, German, English, French","Leadership, Communication Skills, Adaptability, Problem-Solving","$120k–$150k, $90k–$120k, $80k–$100k, $100k–$130k","Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect, PMP Certification"
"IBM, Apple, Facebook is seeking a Software Engineer, Product Manager, Data Scientist, Backend Developer proficient in SQL, Machine Learning, Python, AWS and experienced with VS Code, GitHub. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science and have Entry level, 2+ years of industry experience. Position is based in Boston, MA, Austin, TX, Seattle, WA, New York, NY. Strong Communication Skills, Adaptability, Problem-Solving and fluency in Spanish, French are required. Salary range: $90k–$120k, $80k–$100k, $100k–$130k. Preferred certifications include Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect.","SQL, Machine Learning, Python, AWS","IBM, Apple, Facebook","VS Code, GitHub","Master's in Information Systems, Ph.D. in Data Science","Entry level, 2+ years","Software Engineer, Product Manager, Data Scientist, Backend Developer","Boston, MA, Austin, TX, Seattle, WA, New York, NY","Spanish, French","Communication Skills, Adaptability, Problem-Solving","$90k–$120k, $80k–$100k, $100k–$130k","Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect"
"Amazon, Tesla, IBM is seeking a DevOps Engineer, Software Engineer, Data Scientist proficient in Machine Learning, SQL and experienced with Salesforce, Figma, Slack, Tableau. The ideal candidate should possess Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems and have Entry level, 5+ years, 7+ years, Mid-Senior level of industry experience. Position is based in San Francisco, CA, Boston, MA, Seattle, WA, New York, NY. Strong Teamwork, Adaptability, Problem-Solving and fluency in Spanish, English, French, German are required. Salary range: $90k–$120k, $100k–$130k, $120k–$150k. Preferred certifications include Google Cloud Professional, AWS Certified Solutions Architect, Certified Scrum Master, PMP Certification.","Machine Learning, SQL","Amazon, Tesla, IBM","Salesforce, Figma, Slack, Tableau","Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems","Entry level, 5+ years, 7+ years, Mid-Senior level","DevOps Engineer, Software Engineer, Data Scientist","San Francisco, CA, Boston, MA, Seattle, WA, New York, NY","Spanish, English, French, German","Teamwork, Adaptability, Problem-Solving","$90k–$120k, $100k–$130k, $120k–$150k","Google Cloud Professional, AWS Certified Solutions Architect, Certified Scrum Master, PMP Certification"
"Apple, IBM, Tesla, Facebook is seeking a Data Scientist, Software Engineer, Backend Developer proficient in Kubernetes, AWS, Docker and experienced with Slack, Salesforce, Jira. The ideal candidate should possess Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science and have 2+ years, 7+ years, Entry level of industry experience. Position is based in New York, NY, San Francisco, CA, Boston, MA, Austin, TX. Strong Leadership, Adaptability and fluency in German, Spanish, French are required. Salary range: $100k–$130k, $80k–$100k, $120k–$150k, $90k–$120k. Preferred certifications include PMP Certification, Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect.","Kubernetes, AWS, Docker","Apple, IBM, Tesla, Facebook","Slack, Salesforce, Jira","Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science","2+ years, 7+ years, Entry level","Data Scientist, Software Engineer, Backend Developer","New York, NY, San Francisco, CA, Boston, MA, Austin, TX","German, Spanish, French","Leadership, Adaptability","$100k–$130k, $80k–$100k, $120k–$150k, $90k–$120k","PMP Certification, Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect"
"Microsoft, Tesla, Facebook, Google is seeking a Data Scientist, Product Manager, Software Engineer, DevOps Engineer proficient in SQL, Machine Learning, Java, Kubernetes and experienced with Figma, Salesforce, Slack, Tableau. The ideal candidate should possess Ph.D. in Data Science, Master's in Information Systems and have 7+ years, Mid-Senior level, Entry level of industry experience. Position is based in Austin, TX, San Francisco, CA. Strong Adaptability, Communication Skills and fluency in German, French, English are required. Salary range: $90k–$120k, $100k–$130k, $80k–$100k, $120k–$150k. Preferred certifications include Google Cloud Professional, Certified Scrum Master, AWS Certified Solutions Architect.","SQL, Machine Learning, Java, Kubernetes","Microsoft, Tesla, Facebook, Google","Figma, Salesforce, Slack, Tableau","Ph.D. in Data Science, Master's in Information Systems","7+ years, Mid-Senior level, Entry level","Data Scientist, Product Manager, Software Engineer, DevOps Engineer","Austin, TX, San Francisco, CA","German, French, English","Adaptability, Communication Skills","$90k–$120k, $100k–$130k, $80k–$100k, $120k–$150k","Google Cloud Professional, Certified Scrum Master, AWS Certified Solutions Architect"
"Microsoft, IBM, Amazon, Tesla is seeking a Backend Developer, DevOps Engineer, Software Engineer proficient in Kubernetes, Docker, SQL and experienced with Slack, Salesforce, VS Code. The ideal candidate should possess Bachelor's in Computer Science, Master's in Information Systems and have 5+ years, 7+ years of industry experience. Position is based in Chicago, IL, Boston, MA, San Francisco, CA, Seattle, WA. Strong Leadership, Communication Skills and fluency in English, French, Spanish are required. Salary range: $90k–$120k, $100k–$130k, $80k–$100k. Preferred certifications include Google Cloud Professional, PMP Certification, Certified Scrum Master.","Kubernetes, Docker, SQL","Microsoft, IBM, Amazon, Tesla","Slack, Salesforce, VS Code","Bachelor's in Computer Science, Master's in Information Systems","5+ years, 7+ years","Backend Developer, DevOps Engineer, Software Engineer","Chicago, IL, Boston, MA, San Francisco, CA, Seattle, WA","English, French, Spanish","Leadership, Communication Skills","$90k–$120k, $100k–$130k, $80k–$100k","Google Cloud Professional, PMP Certification, Certified Scrum Master"
"Microsoft, Amazon, Facebook, Netflix is seeking a DevOps Engineer, Product Manager proficient in Kubernetes, Machine Learning, TensorFlow, SQL and experienced with Figma, Jira, Slack, GitHub. The ideal candidate should possess Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science and have 3-5 years, 7+ years, Mid-Senior level of industry experience. Position is based in Seattle, WA, Chicago, IL, Austin, TX. Strong Teamwork, Problem-Solving, Leadership and fluency in English, German are required. Salary range: $100k–$130k, $120k–$150k, $80k–$100k. Preferred certifications include AWS Certified Solutions Architect, PMP Certification, Certified Scrum Master, Google Cloud Professional.","Kubernetes, Machine Learning, TensorFlow, SQL","Microsoft, Amazon, Facebook, Netflix","Figma, Jira, Slack, GitHub","Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science","3-5 years, 7+ years, Mid-Senior level","DevOps Engineer, Product Manager","Seattle, WA, Chicago, IL, Austin, TX","English, German","Teamwork, Problem-Solving, Leadership","$100k–$130k, $120k–$150k, $80k–$100k","AWS Certified Solutions Architect, PMP Certification, Certified Scrum Master, Google Cloud Professional"
"Facebook, Tesla is seeking a Product Manager, DevOps Engineer, Data Scientist, Backend Developer proficient in Python, TensorFlow, Machine Learning, AWS and experienced with Slack, Salesforce, Figma. The ideal candidate should possess Bachelor's in Computer Science, Master's in Information Systems and have 2+ years, 3-5 years, 5+ years, Entry level of industry experience. Position is based in Chicago, IL, Seattle, WA, San Francisco, CA, Boston, MA. Strong Leadership, Problem-Solving and fluency in Spanish, English are required. Salary range: $100k–$130k, $120k–$150k, $80k–$100k. Preferred certifications include Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect, PMP Certification.","Python, TensorFlow, Machine Learning, AWS","Facebook, Tesla","Slack, Salesforce, Figma","Bachelor's in Computer Science, Master's in Information Systems","2+ years, 3-5 years, 5+ years, Entry level","Product Manager, DevOps Engineer, Data Scientist, Backend Developer","Chicago, IL, Seattle, WA, San Francisco, CA, Boston, MA","Spanish, English","Leadership, Problem-Solving","$100k–$130k, $120k–$150k, $80k–$100k","Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect, PMP Certification"
"Amazon, Google, Microsoft is seeking a DevOps Engineer, Backend Developer proficient in AWS, Machine Learning, SQL and experienced with GitHub, Jira, Figma. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science and have 3-5 years, Entry level, Mid-Senior level, 7+ years of industry experience. Position is based in Austin, TX, Seattle, WA. Strong Teamwork, Leadership, Problem-Solving and fluency in German, French, English are required. Salary range: $80k–$100k, $100k–$130k. Preferred certifications include Google Cloud Professional, PMP Certification, AWS Certified Solutions Architect.","AWS, Machine Learning, SQL","Amazon, Google, Microsoft","GitHub, Jira, Figma","Master's in Information Systems, Ph.D. in Data Science","3-5 years, Entry level, Mid-Senior level, 7+ years","DevOps Engineer, Backend Developer","Austin, TX, Seattle, WA","German, French, English","Teamwork, Leadership, Problem-Solving","$80k–$100k, $100k–$130k","Google Cloud Professional, PMP Certification, AWS Certified Solutions Architect"
"Apple, Microsoft, Facebook is seeking a Data Scientist, Backend Developer, Product Manager proficient in Kubernetes, Machine Learning and experienced with GitHub, VS Code, Jira. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science and have 5+ years, 3-5 years, Entry level of industry experience. Position is based in Austin, TX, San Francisco, CA, Chicago, IL. Strong Adaptability, Communication Skills, Teamwork, Leadership and fluency in English, French, Spanish, German are required. Salary range: $90k–$120k, $100k–$130k, $80k–$100k. Preferred certifications include AWS Certified Solutions Architect, Certified Scrum Master, Google Cloud Professional, PMP Certification.","Kubernetes, Machine Learning","Apple, Microsoft, Facebook","GitHub, VS Code, Jira","Master's in Information Systems, Ph.D. in Data Science","5+ years, 3-5 years, Entry level","Data Scientist, Backend Developer, Product Manager","Austin, TX, San Francisco, CA, Chicago, IL","English, French, Spanish, German","Adaptability, Communication Skills, Teamwork, Leadership","$90k–$120k, $100k–$130k, $80k–$100k","AWS Certified Solutions Architect, Certified Scrum Master, Google Cloud Professional, PMP Certification"
"Microsoft, Netflix is seeking a Data Scientist, DevOps Engineer, Product Manager proficient in Kubernetes, Docker, AWS and experienced with Figma, GitHub. The ideal candidate should possess Ph.D. in Data Science, Master's in Information Systems and have Mid-Senior level, 5+ years of industry experience. Position is based in San Francisco, CA, Seattle, WA, Boston, MA. Strong Adaptability, Communication Skills, Leadership, Problem-Solving and fluency in French, German, Spanish are required. Salary range: $90k–$120k, $80k–$100k, $120k–$150k, $100k–$130k. Preferred certifications include Google Cloud Professional, PMP Certification.","Kubernetes, Docker, AWS","Microsoft, Netflix","Figma, GitHub","Ph.D. in Data Science, Master's in Information Systems","Mid-Senior level, 5+ years","Data Scientist, DevOps Engineer, Product Manager","San Francisco, CA, Seattle, WA, Boston, MA","French, German, Spanish","Adaptability, Communication Skills, Leadership, Problem-Solving","$90k–$120k, $80k–$100k, $120k–$150k, $100k–$130k","Google Cloud Professional, PMP Certification"
"Tesla, Amazon, IBM, Facebook is seeking a DevOps Engineer, Software Engineer, Data Scientist, Backend Developer proficient in AWS, Java and experienced with Salesforce, Tableau. The ideal candidate should possess Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science and have Entry level, 2+ years of industry experience. Position is based in Seattle, WA, Austin, TX, San Francisco, CA. Strong Communication Skills, Problem-Solving and fluency in French, English are required. Salary range: $80k–$100k, $90k–$120k, $120k–$150k. Preferred certifications include AWS Certified Solutions Architect, Google Cloud Professional, PMP Certification, Certified Scrum Master.","AWS, Java","Tesla, Amazon, IBM, Facebook","Salesforce, Tableau","Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science","Entry level, 2+ years","DevOps Engineer, Software Engineer, Data Scientist, Backend Developer","Seattle, WA, Austin, TX, San Francisco, CA","French, English","Communication Skills, Problem-Solving","$80k–$100k, $90k–$120k, $120k–$150k","AWS Certified Solutions Architect, Google Cloud Professional, PMP Certification, Certified Scrum Master"
"Apple, IBM, Google is seeking a Software Engineer, Product Manager, Data Scientist proficient in Kubernetes, Python, Docker and experienced with Slack, GitHub, Salesforce. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science and have Entry level, 7+ years, Mid-Senior level, 5+ years of industry experience. Position is based in Austin, TX, Boston, MA, San Francisco, CA, Chicago, IL. Strong Adaptability, Problem-Solving, Communication Skills, Teamwork and fluency in English, German, French are required. Salary range: $80k–$100k, $120k–$150k, $100k–$130k. Preferred certifications include AWS Certified Solutions Architect, PMP Certification, Google Cloud Professional, Certified Scrum Master.","Kubernetes, Python, Docker","Apple, IBM, Google","Slack, GitHub, Salesforce","Bachelor's in Computer Science, Ph.D. in Data Science","Entry level, 7+ years, Mid-Senior level, 5+ years","Software Engineer, Product Manager, Data Scientist","Austin, TX, Boston, MA, San Francisco, CA, Chicago, IL","English, German, French","Adaptability, Problem-Solving, Communication Skills, Teamwork","$80k–$100k, $120k–$150k, $100k–$130k","AWS Certified Solutions Architect, PMP Certification, Google Cloud Professional, Certified Scrum Master"
